No,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Competency
33,What is the purpose of the metadata.ownerReferences field in a Kubernetes object?,To specify the user who created the object,"To link the object to its managing controller (e.g., ReplicaSet to Deployment)",To list labels used for selecting the object,To store annotations related to the object's owner,To define the Namespace the object belongs to,B,"ownerReferences create parent-child relationships between objects. This enables cascading deletion (deleting the owner deletes dependents) and helps controllers identify the objects they manage. For example, a ReplicaSet Pod will have an ownerReference pointing to the ReplicaSet.",Kubernetes Resources
34,Which statement best describes the relationship between Kubernetes and Docker (as of 2025)?,Kubernetes requires Docker to be installed on all nodes.,Docker is the only container runtime supported by Kubernetes.,"Kubernetes primarily interacts with container runtimes via CRI (e.g., containerd, CRI-O), abstracting Docker.",Docker manages the Kubernetes control plane components.,Kubernetes is a component within the Docker Enterprise platform.,C,"Kubernetes deprecated the direct Docker integration (dockershim). It now interacts with OCI-compliant runtimes like containerd (which Docker itself uses) or CRI-O via the Container Runtime Interface (CRI). While Docker might be installed, K8s doesn't use it directly in the same way.",Containers
35,"If multiple Pods need to share persistent data, which volume type allows simultaneous mounting by multiple Pods (potentially with read/write access)?",hostPath,emptyDir,A PersistentVolume with an accessMode like ReadWriteMany (RWX),secret volume,configMap volume,C,"PersistentVolumes (PVs) represent external storage. Their accessModes define how they can be mounted. ReadWriteOnce (RWO) allows mounting by a single node, while ReadWriteMany (RWX) allows simultaneous read/write mounting by multiple nodes (requires a capable storage backend like NFS).",Kubernetes Resources
36,"Which control plane component is primarily responsible for running controllers like the Node Controller, Deployment Controller, and Service Controller?",etcd,kube-apiserver,kube-scheduler,kube-controller-manager,cloud-controller-manager,D,"The kube-controller-manager bundles core Kubernetes controllers into a single binary. It runs controllers that handle node lifecycle, workload management (Deployments, ReplicaSets), service endpoints, namespace creation, etc.",Kubernetes Architecture
37,What is the purpose of a LimitRange object within a Namespace?,To limit the total resource usage of the entire Namespace,To set default resource requests/limits for containers and validate min/max bounds,To restrict network traffic between Pods in the Namespace,To control which users can create resources in the Namespace,To define storage quotas for PersistentVolumeClaims,B,A LimitRange operates at the container/Pod level within a Namespace. It can enforce minimum/maximum resource constraints and specify default request/limit values if they aren't explicitly set in the Pod spec. ResourceQuota limits the Namespace total.,Kubernetes Resources
38,Which kubectl command would you use to apply a configuration defined in my-app.yaml declaratively?,kubectl create -f my-app.yaml,kubectl replace -f my-app.yaml,kubectl apply -f my-app.yaml,kubectl patch -f my-app.yaml,kubectl run -f my-app.yaml,C,"kubectl apply is the standard command for declarative resource management. It creates resources if they don't exist or calculates and applies necessary changes if they do, based on the definition in the file.",Kubernetes API
39,How does the kube-scheduler handle Pods with defined affinity rules?,It ignores affinity rules if resource requests cannot be met.,It uses affinity rules as the primary factor for node selection.,It considers affinity/anti-affinity rules during the filtering and scoring phases.,It delegates affinity processing to the kubelet.,"It only processes podAffinity, not nodeAffinity.",C,Affinity rules (node and inter-pod) influence scheduling decisions. Required affinity rules act as filters (nodes must match). Preferred affinity rules contribute to the scoring phase (nodes matching preferred rules get higher scores).,Scheduling
40,"What is the concept of ""desired state reconciliation"" fundamental to Kubernetes?",Users manually reconcile cluster state using kubectl.,Controllers continuously observe and work to match actual state to declared state.,etcd automatically corrects discrepancies between desired and actual state.,kubelet reconciles container state based solely on node health.,The API server rejects any configuration that deviates from the current state.,B,"This is the core operational principle. Users declare the desired state (via API objects), and various controllers run loops comparing this desired state with the actual observed state, taking corrective actions (creating/deleting/updating resources) to close the gap.",Kubernetes Architecture
41,Which resource attribute is primarily used by a Service to determine which Pods should receive traffic?,metadata.name,metadata.namespace,metadata.labels (matched by the Service's selector),spec.nodeName,status.podIP,C,"A Service definition includes a selector field, which specifies a set of labels. The Service continuously identifies Pods matching these labels and directs traffic to them (via Endpoints/EndpointSlices managed by controllers).",Kubernetes Resources
42,"What type of container volume shares the Pod's lifecycle and is initially empty, useful for temporary data sharing between containers in a Pod?",hostPath,persistentVolumeClaim,emptyDir,nfs,secret,C,An emptyDir volume is created when a Pod is assigned to a node and exists as long as that Pod is running on that node. Its 1  contents are lost when the Pod is deleted. It's ideal for scratch space or sharing files between containers within the same Pod.,Kubernetes Resources
43,Which Kubernetes API endpoint would kubectl get pods likely interact with?,/api/v1/nodes,/api/v1/namespaces/{namespace}/pods,/apis/apps/v1/deployments,/healthz,/metrics,B,"Core Kubernetes resources like Pods, Services, and Namespaces typically reside under the /api/v1 endpoint. The request would be scoped to a specific namespace (or query all namespaces) and target the pods resource type.",Kubernetes API
44,What is a potential consequence of setting container resource limits much higher than requests?,Improved Pod scheduling priority,Reduced cost for node resources,"Potential for node resource exhaustion and Pod eviction (""noisy neighbor"" effect)",Faster container startup times,Automatic vertical scaling of the container,C,"Requests are used for scheduling, guaranteeing the resource. Limits enforce an upper bound. If limits are high, a container might consume resources needed by other Pods on the node, potentially leading to CPU throttling or OOM (Out Of Memory) kills and eviction if node pressure occurs.",Scheduling
45,Which architectural pattern describes running a helper container alongside a main application container in the same Pod to provide auxiliary functionality?,Init Container,Ephemeral Container,Sidecar Container,Ambassador Container,Adapter Container,C,"The Sidecar pattern involves adding containers to a Pod to extend or enhance the main application container (e.g., for logging, monitoring, proxying) without modifying the main application's code. They share the same lifecycle and network/storage namespaces.",Containers
46,How are API resources like Deployments and StatefulSets grouped in the Kubernetes API?,Under the core v1 API group (/api/v1),They are not part of any API group.,Under specific API groups like apps/v1,Under the scheduling.k8s.io API group,Under the batch/v1 API group,C,"Kubernetes organizes its API into groups to facilitate evolution. Workload resources like Deployments, StatefulSets, ReplicaSets, and DaemonSets are part of the apps API group, currently at version v1.",Kubernetes API
47,"If a Node fails, what component detects this failure and updates the Node's status in etcd?",kubelet on the failed node,kube-proxy on peer nodes,node-controller (within kube-controller-manager),kube-scheduler,etcd itself through distributed consensus,C,"The node-controller, running within the kube-controller-manager, is responsible for monitoring Node health (based on heartbeats from kubelet) and updating the Node status (e.g., setting conditions like Ready to False or Unknown).",Kubernetes Architecture
48,Which resource configuration allows a Pod to securely access the Kubernetes API server using the Pod's own identity?,Mounting a Secret containing API keys,Configuring a ServiceAccount for the Pod and mounting its token,Using hostNetwork: true,Defining an Ingress resource,Setting environment variables with kubeconfig data,B,"A ServiceAccount provides an identity for a Pod. Kubernetes automatically creates and mounts a token for this ServiceAccount into the Pod (unless disabled), which applications can use to authenticate to the API server. Permissions are granted via RBAC.",Kubernetes Resources
49,What is the primary purpose of using annotations on Kubernetes resources?,To select resources for operations (like Services selecting Pods),To define resource constraints and quotas,To attach arbitrary non-identifying metadata (often used by tools),To specify the desired number of replicas for a workload,To enforce security policies on Pods,C,"While labels are for identifying and selecting objects, annotations are meant for attaching non-identifying metadata, often used by tools, libraries, or operators to store configuration, pointers, or state information relevant to their function.",Kubernetes Resources
50,"In a typical Kubernetes cluster setup, where does the kube-scheduler run?",On every worker node,As a Pod managed by a DaemonSet,As a static Pod or systemd service on a control plane node,Inside the etcd cluster,As part of the kubelet binary,C,"The kube-scheduler is a critical control plane component. It usually runs directly on a control plane node, often managed as a static Pod (defined by a manifest file read by the kubelet on the control plane node) or as a system service.",Kubernetes Architecture
