No,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Competency
11,What is the primary function of the Cluster Autoscaler (CA) in Kubernetes?,To adjust the number of replicas for a Deployment based on CPU load.,To modify the resource requests/limits for Pods based on usage.,To add or remove worker nodes from the cluster based on Pod scheduling pressure.,To automatically update Kubernetes control plane components.,To balance network traffic evenly across all nodes.,C,"The Cluster Autoscaler monitors for Pods that cannot be scheduled due to insufficient resources (CPU, memory) on existing nodes. If such Pods exist, it interacts with the cloud provider (or infrastructure) to provision new nodes. It also removes underutilized nodes.",Autoscaling
12,What distinguishes serverless platforms (like Knative or FaaS) from traditional Platform-as-a-Service (PaaS) regarding scaling?,PaaS cannot scale automatically; Serverless can.,Serverless platforms can typically scale down to zero instances when idle; PaaS often cannot.,PaaS scales based on node count; Serverless scales based on function memory size.,Serverless platforms only support vertical scaling; PaaS supports horizontal scaling.,PaaS requires manual intervention for all scaling operations.,B,"A key characteristic of many serverless platforms is the ability to scale down the number of running instances to zero when there are no incoming requests, reducing costs for idle applications. Traditional PaaS offerings often require at least one instance to be running continuously.",Serverless
13,What is the role of a CNCF Special Interest Group (SIG) or Technical Advisory Group (TAG)?,To directly employ developers working on CNCF projects.,To provide commercial support contracts for CNCF software.,To provide technical leadership and coordinate efforts within specific domains or projects.,To vote on which projects should be accepted into the CNCF Sandbox.,To manage the financial budget of the CNCF.,C,"SIGs (often within projects like Kubernetes) and TAGs (across the CNCF landscape) are groups focused on specific technical areas (e.g., TAG Security, TAG Storage, Kubernetes SIG-Network). They provide expertise, guidance, review designs, and coordinate work within their respective domains.",Community and Governance
14,An Application Developer using a cloud native platform is primarily concerned with which of the following?,Managing etcd backups and restores for the cluster.,"Writing application code, defining deployment manifests, and configuring CI/CD pipelines.",Patching the operating system on the cluster nodes.,Configuring the CNI plugin for optimal network performance.,Selecting the physical hardware for the worker nodes.,B,"The Application Developer's focus is on the application itself: writing code, packaging it (often into containers), defining how it should run in Kubernetes (e.g., Deployments, Services), and setting up automation for building and deploying it. They rely on the platform provided by Operators.",Roles and Personas
15,The Container Storage Interface (CSI) standard allows Kubernetes to support various storage systems. What is the main benefit of this standardization?,It guarantees all CSI-compliant storage has the same performance characteristics.,It allows storage vendors to add support without modifying core Kubernetes code.,It eliminates the need for PersistentVolumes and PersistentVolumeClaims.,It provides a built-in data encryption layer for all storage types.,It defines the optimal way to structure data within a volume.,B,"CSI provides a standard API for storage plugins. This decouples storage provider implementations from the core Kubernetes code, allowing vendors to develop drivers independently and enabling Kubernetes users to leverage a wide variety of storage backends consistently.",Open Standards
16,"When using Horizontal Pod Autoscaling (HPA) based on custom metrics, where does the HPA typically retrieve these metrics from?",Directly from the kubelet on each node.,From the Kubernetes Metrics Server (focused on resource metrics).,From monitoring systems like Prometheus via the custom metrics API (k8s-prometheus-adapter).,By parsing application log files stored in etcd.,From annotations manually added to the Deployment manifest.,C,"While HPA uses the Metrics Server for CPU/memory, custom metrics (e.g., queue length, requests per second) require an adapter (like k8s-prometheus-adapter or a cloud provider specific one) that fetches data from an external monitoring system (like Prometheus) and exposes it via the Kubernetes custom/external metrics API.",Autoscaling
17,"What does ""event-driven"" architecture, often associated with serverless functions, mean?",Applications must be written using event sourcing patterns.,"Code execution is triggered by the occurrence of specific events (e.g., HTTP request, message).","The platform uses events internally for scheduling, hidden from the user.",All application state must be stored within the event payload.,Only asynchronous communication patterns can be used.,B,"In an event-driven model, components react to events. Serverless functions are often designed this way: an event occurs (like an API call, a file upload, a database change), and the platform triggers the corresponding function to process that event.",Serverless
18,How does the CNCF promote cloud native principles and best practices within the community?,By mandating the use of specific programming languages for hosted projects.,By selling proprietary tools that enforce best practices.,"Through publications (e.g., blog, reports), webinars, events (like KubeCon), and fostering collaboration.",By directly managing the infrastructure for all member companies.,By providing legally binding architectural blueprints.,C,"CNCF acts as a thought leader and community hub. It shares knowledge and promotes best practices through various channels like its website, blog, webinars, research papers, landscape map, and major conferences like KubeCon + CloudNativeCon.",Community and Governance
19,A Site Reliability Engineer (SRE) working with a Kubernetes platform would likely focus most on which area?,Designing the user interface for end-user applications.,"Automating platform operations, ensuring reliability/SLOs, and managing incident response.",Writing feature code for the core business applications running on the platform.,Defining the marketing strategy for the company's cloud native services.,Choosing which programming language application developers should use.,B,"SREs apply software engineering principles to infrastructure and operations problems. They focus on automating tasks, measuring and meeting Service Level Objectives (SLOs) for platform reliability, improving monitoring/alerting, and handling incidents efficiently.",Roles and Personas
20,Why is the standardization provided by specifications like CRI (Container Runtime Interface) important for Platform Operators/SREs?,It allows them to use docker build commands to manage runtime configuration.,It simplifies the process of writing application code for developers.,It gives them flexibility to choose/swap runtimes without disrupting Kubernetes functionality.,It guarantees that all container runtimes will have identical performance.,It eliminates the need for managing worker nodes.,C,"CRI decouples Kubernetes (kubelet) from the specific runtime implementation. This allows platform operators to choose the runtime that best fits their needs (e.g., containerd, CRI-O) and potentially switch between them with minimal impact on the overall Kubernetes system.",Open Standards
21,"If you need to automatically scale your Kubernetes cluster by adding/removing nodes based on overall resource pressure, which component is responsible?",Horizontal Pod Autoscaler (HPA),Vertical Pod Autoscaler (VPA),Cluster Autoscaler (CA),kube-scheduler,metrics-server,C,"The Cluster Autoscaler specifically monitors for unschedulable Pods (due to resource constraints) and interacts with the underlying infrastructure (e.g., cloud provider) to add more nodes. It also consolidates workloads and removes underutilized nodes.",Autoscaling
22,"Which statement best describes the concept of ""scale to zero"" in serverless platforms?",The platform uses zero resources when no functions are deployed.,"Application instances are automatically removed when idle, consuming no resources.",Functions are limited to executing for zero seconds (instantaneous execution).,The platform requires zero configuration from the developer to deploy functions.,Only zero-cost open source serverless platforms support this feature.,B,"""Scale to zero"" means that if a serverless function or application receives no traffic or events for a period, the platform automatically scales down the number of running instances to zero. This stops resource consumption and associated costs during idle periods.",Serverless
23,What is the significance of the CNCF Landscape (landscape.cncf.io)?,It's the official source code repository for all CNCF projects.,It's a legally binding contract defining how member companies must use CNCF software.,It provides an interactive map categorizing and organizing projects within the cloud native ecosystem.,It's the primary tool used for deploying applications to Kubernetes clusters.,It's a real-time dashboard showing the operational status of CNCF projects.,C,"The CNCF Landscape is a vital resource that attempts to map the vast cloud native ecosystem, organizing projects and products into categories (e.g., database, scheduling, observability). It helps users navigate the available tools and understand the relationships between them.",Community and Governance
24,Consider the interaction between Application Developers and Platform Operators. What is a key aspect of their relationship in a healthy cloud native culture?,Operators dictate the exact programming languages developers must use.,Developers have unrestricted root access to all cluster nodes for debugging.,"Clear interfaces and responsibilities, with Operators providing a reliable platform for Developers.",Developers are solely responsible for patching the Kubernetes control plane.,Operators manually review every line of application code before deployment.,C,"A successful cloud native environment relies on a clear separation of concerns and collaboration. Operators provide a stable, automated platform with self-service capabilities, while Developers consume the platform services to build, deploy, and run their applications efficiently.",Roles and Personas
25,"The existence of multiple CNI (Container Network Interface) plugins (e.g., Calico, Flannel, Cilium) demonstrates what benefit of open standards?",That CNI guarantees identical features across all network plugins.,That network configuration in Kubernetes is overly complex.,That standardization allows for choice and innovation in specific implementation areas.,That CNI plugins are only developed by the CNCF itself.,That network plugins are the least stable part of Kubernetes.,C,"The CNI standard defines how Kubernetes interacts with network plugins but not what features those plugins must provide beyond basic connectivity. This allows different vendors and projects to innovate and offer plugins with varying features (e.g., network policy enforcement, encryption, performance).",Open Standards
26,You have a stateless web application deployed using a Kubernetes Deployment. Traffic fluctuates significantly. You want to automatically adjust the number of Pods based on average CPU utilization. Which tool is most appropriate?,Cluster Autoscaler (CA),Vertical Pod Autoscaler (VPA),Horizontal Pod Autoscaler (HPA) configured with a CPU utilization target.,Manually adjusting the replicas field in the Deployment manifest.,Using a DaemonSet instead of a Deployment.,C,HPA is designed specifically for this use case: scaling the number of replicas for a workload (like a Deployment) based on metrics like CPU or memory utilization.,Autoscaling
27,Which is NOT a typical characteristic often associated with serverless architectures (especially FaaS)?,Stateless function execution (state managed externally).,Short-lived execution durations for functions.,Built-in requirement for managing complex state within the function instance itself.,"Event-driven triggers (e.g., HTTP, queues, storage events).",Automatic scaling based on demand (including scale-to-zero).,C,"Serverless functions are typically designed to be stateless. State should be managed externally (e.g., in databases, caches, storage services) because function instances can be created and destroyed frequently, and requests might be served by different instances with no shared memory.",Serverless
28,How does CNCF governance typically handle decision-making for technical directions within its hosted projects?,Decisions are made solely by the original creators of the project.,Decisions are dictated by the CNCF governing board based on member votes.,"Through community consensus, meritocracy, and processes defined by project-specific governance (e.g., SIGs, maintainers).",Based on the highest bidder among commercial vendors supporting the project.,Following directives from the Linux Foundation technical board.,C,"CNCF projects generally operate under open governance models. Technical decisions are usually made by maintainers and contributors through public discussion, consensus building (e.g., via mailing lists, GitHub issues/PRs, SIG meetings), and documented processes, reflecting a meritocratic approach.",Community and Governance
29,"A key responsibility of a Platform Operator/SRE is managing the ""control plane"" of the cloud native platform. What does this typically entail?",Developing the user interface for business applications.,"Ensuring the availability, performance, and security of Kubernetes core components (API server, etcd, etc.).",Writing unit tests for application microservices.,Defining the product roadmap for end-user features.,Onboarding new application development teams.,B,"The control plane (e.g., Kubernetes API server, scheduler, controller manager, etcd) is the brain of the platform. Operators are responsible for its installation, configuration, upgrades, security, monitoring, and ensuring its overall health and reliability.",Roles and Personas
30,What problem does the Service Mesh Interface (SMI) specification aim to address?,The lack of service mesh options available for Kubernetes.,The difficulty in installing service mesh control planes.,The need for a standard interface for interacting with different service meshes on Kubernetes.,The inability of service meshes to handle non-HTTP traffic.,The high performance overhead associated with service mesh sidecars.,C,"SMI aims to provide a standard set of APIs for common service mesh functionalities (like traffic splitting, metrics, access control) on Kubernetes. This allows users and tool builders to interact with different service mesh implementations (like Istio, Linkerd, Consul) in a more portable way.",Open Standards
31,Can Vertical Pod Autoscaler (VPA) and Horizontal Pod Autoscaler (HPA) be safely used together on the same workload for CPU/memory scaling?,"Yes, they work seamlessly together by default.","No, they are fundamentally incompatible and will conflict.","It's generally discouraged or requires careful configuration, as they can interfere with each other.","Yes, but only if the Cluster Autoscaler is also enabled.",VPA automatically disables HPA when applied to the same workload.,C,"Using VPA (to adjust requests/limits) and HPA (to adjust replicas) simultaneously for the same resources (CPU/memory) is complex and often problematic. VPA might change resource requests, affecting HPA's utilization calculations, leading to instability. It's often recommended to use VPA for resource sizing recommendations and HPA for scaling replicas.",Autoscaling
32,What is a potential drawback or challenge associated with serverless FaaS architectures compared to traditional long-running services?,Significantly higher infrastructure costs when constantly busy.,Difficulty in achieving automatic scaling.,Lack of support for common programming languages.,Cold starts (latency introduced when invoking an idle function).,Inability to integrate with other cloud services.,D,"Cold starts occur when a request comes in for a function that has no active instances (scaled to zero or idle). The platform needs to initialize an instance, load the code, and start it, which adds latency to the first request after a period of inactivity.",Serverless
33,"The ""DevOps"" culture is central to cloud native paradigms. What core principle does DevOps emphasize?",Complete separation of development and operations teams and responsibilities.,Prioritizing feature development speed over operational stability.,"Collaboration, shared responsibility, and automation between development and operations.",Replacing operations teams entirely with automated tools managed by developers.,"Focusing solely on infrastructure automation, ignoring application development.",C,"DevOps promotes breaking down silos between development and operations teams. It emphasizes shared goals, collaboration, communication, and automating processes (CI/CD, IaC) to deliver software faster and more reliably.",Community and Governance
34,Who is the primary consumer/beneficiary of a well-maintained internal cloud native platform built by Platform Engineers?,The CNCF governing board.,End users accessing the company's external website.,Application Development teams building and deploying services.,Competing companies in the same industry.,The company's finance department managing cloud spend.,C,"The main goal of building an internal platform (often based on Kubernetes and other cloud native tools) is to enable Application Development teams to deliver business value (features, applications) faster, more reliably, and more efficiently by abstracting away infrastructure complexity.",Roles and Personas
35,What is the value proposition of having a standardized interface like CSI (Container Storage Interface) for Application Developers?,They need to learn the specific API of every storage vendor their platform might use.,They can request and consume storage using consistent Kubernetes objects (PVC) regardless of the backend.,They are responsible for writing and maintaining CSI drivers for their applications.,They no longer need to consider storage performance requirements.,They must use hostPath volumes for all persistent data.,B,"CSI abstracts the storage implementation details. Application Developers interact with standard Kubernetes storage objects (PersistentVolumeClaim, StorageClass). They don't need to know the specifics of the underlying storage system (e.g., EBS, GCE PD, NFS, Ceph) as long as a CSI driver is installed.",Open Standards
36,When might using the Cluster Autoscaler lead to increased costs if not carefully managed?,"If it scales down nodes too aggressively, causing workload disruption.",If it frequently adds new nodes for short-lived Pods that could have waited.,If it only uses the smallest available instance types from the cloud provider.,If it conflicts with Horizontal Pod Autoscaler settings.,If it disables node monitoring and alerting.,B,"If workloads frequently trigger scale-up events for Pods that only run briefly, the CA might provision new nodes that are then underutilized shortly after. Tuning CA settings (e.g., scan intervals, expander strategies) and ensuring Pods request appropriate resources can help mitigate this.",Autoscaling
37,"Besides FaaS, what other types of services sometimes fall under the ""serverless"" umbrella?","Managed databases, messaging queues, and API gateways that auto-scale and abstract infrastructure.",Traditional virtual machines with pay-as-you-go pricing.,Bare-metal servers provisioned via an API.,On-premises Kubernetes clusters managed using GitOps.,Desktop applications deployed via MSI installers.,A,"The ""serverless"" concept often extends beyond FaaS to include managed backend services (Backend-as-a-Service or BaaS) like databases (e.g., DynamoDB, Firestore), queues (e.g., SQS, Pub/Sub), and API gateways where the provider manages scaling, availability, and infrastructure, abstracting it from the user.",Serverless
38,What is the purpose of the CNCF Artifact Hub?,To store source code for all CNCF projects.,To provide a centralized web UI for finding and discovering cloud native packages and artifacts.,To run performance benchmarks on different Kubernetes distributions.,To manage user authentication and authorization for CNCF services.,To host container images for public use.,B,"Artifact Hub acts as a central repository for finding and exploring cloud native artifacts like Helm charts, OLM operators, Falco rules, OPA policies, etc. It aggregates information from various distributed repositories, making discovery easier.",Community and Governance
39,"Why is understanding the different personas (Developer, Operator, etc.) important when designing a cloud native platform or process?",It helps determine the pricing model for the platform.,It ensures the platform only uses CNCF Graduated projects.,"It allows tailoring tools, interfaces, and automation to meet the specific needs and workflows of each role.",It dictates the programming language used for building the platform itself.,It's primarily a marketing exercise with little technical impact.,C,"Different roles have different needs, priorities, and technical skills. Designing a platform or process with these personas in mind leads to better usability, adoption, and efficiency. For example, developers need easy self-service deployment, while operators need robust monitoring and control.",Roles and Personas
40,"The OpenTelemetry project, hosted by CNCF, aims to standardize which aspect of cloud native applications?",Container image formats and runtime execution.,Service mesh configuration and traffic management APIs.,"Generation, collection, and export of telemetry data (traces, metrics, logs).",Persistent storage provisioning and volume lifecycle management.,User authentication and authorization protocols.,C,"OpenTelemetry provides a vendor-neutral set of APIs, SDKs, and tools for instrumenting applications to generate telemetry data (traces, metrics, logs) and exporting that data to various observability backends, promoting interoperability in monitoring.",Open Standards
41,Which autoscaling component would be most directly impacted by poorly configured Pod readiness/liveness probes?,Cluster Autoscaler (CA),Vertical Pod Autoscaler (VPA),Horizontal Pod Autoscaler (HPA),Kubernetes Scheduler (kube-scheduler),metrics-server,C,"HPA relies on Pods being ready to serve traffic and uses metrics from those Pods. If readiness probes are misconfigured, Pods might not become ready, or might be incorrectly marked as unhealthy. This prevents HPA from accurately assessing load and making correct scaling decisions.",Autoscaling
42,What key operational burden is significantly reduced by adopting serverless FaaS compared to running the same code in containers on Kubernetes?,Writing Dockerfiles and building container images.,"Managing the underlying compute instances, OS patching, and runtime updates.",Defining Kubernetes Service and Ingress resources.,Implementing application-level logging and monitoring.,Managing source code in a version control system like Git.,B,"With FaaS, the provider manages the entire underlying infrastructure stack – physical servers, VMs, operating systems, patching, container runtimes (if used underneath), and language runtimes. The user focuses only on the function code.",Serverless
43,What is the relationship between the Linux Foundation (LF) and the Cloud Native Computing Foundation (CNCF)?,They are direct competitors offering similar services.,"CNCF is the parent organization, and LF is one of its projects.","LF is the parent non-profit foundation, and CNCF is a sub-foundation focused on cloud native.",They are completely unrelated organizations.,CNCF manages Linux kernel development; LF manages cloud native projects.,C,The Linux Foundation is a large non-profit technology consortium. The CNCF is one of its projects (a sub-foundation) specifically chartered to advance cloud native computing and host related open source projects.,Community and Governance
44,"From a Platform Operator's perspective, what is a major benefit of Application Developers adhering to standardized logging formats and exposing Prometheus metrics?",It reduces the number of programming languages the Operator needs to support.,It simplifies the setup and maintenance of centralized observability and monitoring systems.,It eliminates the need for Kubernetes RBAC policies.,It guarantees that applications will be completely bug-free.,It allows Operators to directly modify application source code.,B,"When applications follow standards for logging (e.g., structured JSON to stdout) and metrics (e.g., Prometheus exposition format), Operators can more easily configure and manage platform-wide tools (like log aggregators and Prometheus servers) to collect, analyze, and visualize this data effectively.",Roles and Personas
45,"What core principle do standards like OCI, CRI, CNI, and CSI all enable within the Kubernetes ecosystem?",Reduced complexity for application developers writing business logic.,Improved performance compared to non-standardized components.,"Modularity and interchangeability of components, fostering choice and innovation.",Automatic security patching for all involved components.,Consolidation of all functions into the kubelet binary.,C,"These standards define interfaces between different layers of the stack (runtime, networking, storage). This allows different implementations for each layer to be developed and used interchangeably, promoting modularity, preventing vendor lock-in, and allowing specialization.",Open Standards
46,"If VPA is configured in ""recommendation"" mode (updateMode: ""Off""), what does it do?",It automatically adjusts Pod resource requests/limits based on usage.,It scales the number of Pod replicas based on its recommendations.,It generates recommendations for resource requests/limits but does not apply them automatically.,It adds or removes cluster nodes based on resource recommendations.,It disables itself and provides no recommendations.,C,"In recommendation-only mode, VPA analyzes resource usage and updates the status.recommendation field of the VPA object with suggested values for requests/limits, but it doesn't modify the running Pods. This allows operators to review recommendations before applying them.",Autoscaling
47,Knative is a popular open source project often associated with serverless on Kubernetes. What core capabilities does Knative Serving provide?,Persistent block storage management for functions.,A framework for building complex stateful workflows.,Request-driven compute with autoscaling (including scale-to-zero) for deploying containers.,A distributed database optimized for serverless workloads.,A graphical user interface for managing Kubernetes clusters.,C,"Knative Serving builds on Kubernetes to provide features commonly associated with serverless/FaaS platforms, such as deploying containerized applications, automatically scaling them based on HTTP requests (including scaling down to zero), and managing revisions for easy rollouts/rollbacks.",Serverless
48,"What is a key characteristic of successful open source governance, as promoted by organizations like the CNCF?",Centralized control by a single sponsoring company.,Lack of clear processes for contribution or decision-making.,"Transparency, community participation, and clear contribution/leadership paths.",Frequent changes in project licensing terms.,Closed-door meetings for all technical decisions.,C,"Healthy open source projects thrive on transparency in decision-making, clear guidelines for how community members can contribute and potentially grow into leadership roles (maintainers, SIG leads), and active participation from a diverse set of contributors and users.",Community and Governance
49,An End User of a cloud native application interacts with the system differently than a Developer or Operator. What is the End User's primary interaction?,Pushing code commits to a Git repository.,Configuring monitoring alerts for application performance.,"Using the application's interface (e.g., web UI, mobile app) to consume its functionality.",Provisioning new nodes for the Kubernetes cluster.,Writing Kubernetes YAML manifests.,C,The End User is the consumer of the application built by Developers and run on the platform managed by Operators. Their interaction is typically through the application's intended interface to achieve a business goal or task.,Roles and Personas
50,"The rise of cloud native architectures has emphasized ""Immutable Infrastructure"". What does this principle mean in the context of deployments?",Infrastructure components are never patched or updated once deployed.,"Deployments are updated by creating new instances (e.g., containers, VMs) rather than modifying existing ones.",Only specific approved vendors can provide infrastructure components.,Infrastructure configuration is stored in mutable databases.,All infrastructure must run in a single availability zone for consistency.,B,"Immutable Infrastructure treats servers or containers as ephemeral units. Instead of updating an existing instance in-place, you build a new version (e.g., a new container image), deploy new instances based on it, and then decommission the old ones. This leads to more predictable and reliable deployments.",Open Standards
